Company Name,Ticker
Banco Products (I),BANCOINDIA.NS
Bandhan Bank,BANDHANBNK.NS
Bang Overseas,BANG.NS
Banka BioLoo,BANKA.NS
Bank of Baroda,BANKBARODA.NS
Bank of India,BANKINDIA.NS
Bansal Wire Industries,BANSALWIRE.NS
Banswara Syntex,BANSWRAS.NS
BASF India,BASF.NS
Bannari Amman Spinning Mills,BASML.NS
Bata India,BATAINDIA.NS
Batliboi,BATLIBOI.NS
Bayer Cropscience,BAYERCROP.NS
Bharat Bijlee,BBL.NS
Black Box,BBOX.NS
The Bombay Burmah Trading Corporation,BBTC.NS
B&B Triplewall Containers,BBTCL.NS
Brightcom Group,BCG.NS
Bcl Industries,BCLIND.NS
Brand Concepts,BCONCEPTS.NS
BCPL Railway Infrastructure,BCPL.NS
Bharat Dynamics,BDL.NS
Beardsell,BEARDSELL.NS
Mrs. Bectors Food Specialities,BECTORFOOD.NS
Bedmutha Industries,BEDMUTHA.NS
Beekay Steel Industries,BEEKAY.NS
Bharat Electronics,BEL.NS
Bella Casa Fashion & Retail,BELLACASA.NS
Belrise Industries,BELRISE.NS
BEML,BEML.NS
Bengal & Assam Company,BENGALASM.NS
Bhansali Engineering Polymers,BEPL.NS
Berger Paints (I),BERGEPAINT.NS
Best Agrolife,BESTAGRO.NS
Beta Drugs,BETA.NS
BF Investment,BFINVEST.NS
BF Utilities,BFUTILITIE.NS
BGR Energy Systems,BGRENERGY.NS
Bhagiradha Chemicals & Industries,BHAGCHEM.NS
Bhageria Industries,BHAGERIA.NS
Bhagyanagar India,BHAGYANGR.NS
Bhandari Hosiery Exports,BHANDARI.NS
Bharat Coking Coal,BHARATCOAL.NS
Bharat Forge,BHARATFORG.NS
Bharat Gears,BHARATGEAR.NS
Bharat Rasayan,BHARATRAS.NS
Bharat Seats,BHARATSE.NS
Bharat Wire Ropes,BHARATWIRE.NS
Bharti Airtel,BHARTIARTL.NS
Bharti Hexacom,BHARTIHEXA.NS
Bharat Heavy Electricals,BHEL.NS
Bilcare,BI.NS
Bigbloc Construction,BIGBLOC.NS
Bikaji Foods International,BIKAJI.NS
Bhartiya International,BIL.NS
BIL VYAPAR,BILVYAPAR.NS
Bimetal Bearings,BIMETAL.NS
Biocon,BIOCON.NS
Biofil Chemicals & Pharmaceuticals,BIOFILCHEM.NS
Birla Cable,BIRLACABLE.NS
Birla Corporation,BIRLACORPN.NS
Aditya Birla Money,BIRLAMONEY.NS
BirlaNu,BIRLANU.NS
Birla Precision Technologies,BIRLAPREC.NS
BLACKBUCK,BLACKBUCK.NS
Black Rose Inds.,BLACKROSE.NS
BEML Land Assets,BLAL.NS
BLB,BLBLIMITED.NS
Balmer Lawrie Investments,BLIL.NS
Bliss GVS Pharma,BLISSGVS.NS
B. L. Kashyap and Sons,BLKASHYAP.NS
BLS International Services,BLS.NS
BLS E-Services,BLSE.NS
Blue Chip India,BLUECHIP.NS
Blue Coast Hotels,BLUECOAST.NS
Blue Dart Express,BLUEDART.NS
Blue Jet Healthcare,BLUEJET.NS
Blue Star,BLUESTARCO.NS
BlueStone Jewellery and Lifestyle,BLUESTONE.NS
Bluspring Enterprises,BLUSPRING.NS
BMW Ventures,BMWVENTLTD.NS
BN Agrochem,BNAGROCHEM.NS
B & A,BNALTD.NS
Bodal Chemicals,BODALCHEM.NS
Bohra Industries,BOHRAIND.NS
Bombay Dyeing & Mfg Company,BOMDYEING.NS
Bonlon Industries,BONLON.NS
Borana Weaves,BORANA.NS
Borosil,BOROLTD.NS
BOROSIL RENEWABLES,BORORENEW.NS
Borosil Scientific,BOROSCI.NS
BOSCH HOME COMFORT INDIA,BOSCH-HCIL.NS
Bosch,BOSCHLTD.NS
Bharat Petroleum Corporation,BPCL.NS
BPL,BPL.NS
Brigade Enterprises,BRIGADE.NS
Brigade Hotel Ventures,BRIGHOTEL.NS
Britannia Industries,BRITANNIA.NS
Bharat Road Network,BRNL.NS
Brooks Laboratories,BROOKS.NS
BSE,BSE.NS
Bombay Super Hybrid Seeds,BSHSL.NS
BSL,BSL.NS
BIRLASOFT,BSOFT.NS
Bodhi Tree Multimedia,BTML.NS
Bhilwara Technical Textiles,BTTL.NS
Shankara Buildpro,BUILDPRO.NS
Butterfly Gandhimathi Appliances,BUTTERFLY.NS
Barak Valley Cements,BVCL.NS
The Byke Hospitality,BYKE.NS
California Software Company,CALSOFT.NS
Camlin Fine Sciences,CAMLINFINE.NS
Campus Activewear,CAMPUS.NS
Computer Age Management Services,CAMS.NS
Canara Bank,CANBK.NS
Can Fin Homes,CANFINHOME.NS
Canara HSBC Life Insurance Company,CANHLIFE.NS
Cantabil Retail India,CANTABIL.NS
Capacit'e Infraprojects,CAPACITE.NS
Capillary Technologies India,CAPILLARY.NS
Capital Small Finance Bank,CAPITALSFB.NS
Caplin Point Laboratories,CAPLIPOINT.NS
Capital Trust,CAPTRUST.NS
